gene	report_path	source_image	copied_image	copied	reason
ALKBH3	detail/chromatin/ALKBH3/ALKBH3-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ALKBH3/IF_images/U2OS_1.jpg	docs/assets/report-images/ALKBH3/U2OS_1.jpg	True	copied_or_reused
ALKBH3	detail/chromatin/ALKBH3/ALKBH3-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ALKBH3/IF_images/U2OS_2.jpg	docs/assets/report-images/ALKBH3/U2OS_2.jpg	True	copied_or_reused
ALKBH3	detail/chromatin/ALKBH3/ALKBH3-evaluation.md	../assets/report-images/ALKBH3/U2OS_1.jpg		False	source_not_found
ALKBH3	detail/chromatin/ALKBH3/ALKBH3-evaluation.md	../assets/report-images/ALKBH3/U2OS_2.jpg		False	source_not_found
ALKBH3	detail/chromatin/ALKBH3/ALKBH3-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ALKBH3/ALKBH3-PAE.png	docs/assets/report-images/ALKBH3/ALKBH3-PAE.png	True	copied_or_reused
ALKBH3	detail/chromatin/ALKBH3/ALKBH3-evaluation.md	../assets/report-images/ALKBH3/ALKBH3-PAE.png		False	source_not_found
ALKBH3	detail/chromatin/ALKBH3/ALKBH3-evaluation.md	/Users/quii/Desktop/projects/protein-scout-TEreg-finding/detail/chromatin/ALKBH3/ALKBH3-PAE.png	docs/assets/report-images/ALKBH3/ALKBH3-PAE.png	True	copied_or_reused
ALKBH3	detail/chromatin/ALKBH3/ALKBH3-evaluation.md	../assets/report-images/ALKBH3/ALKBH3-PAE.png		False	source_not_found
ALKBH3	detail/chromatin/ALKBH3/ALKBH3-evaluation.md	/Users/quii/Documents/Obsidian Vault/Projects/TEreg-finding/protein-interested/detail/chromatin/ALKBH3/ALKBH3-PAE.png	docs/assets/report-images/ALKBH3/ALKBH3-PAE.png	True	copied_or_reused
ALKBH3	detail/chromatin/ALKBH3/ALKBH3-evaluation.md	../assets/report-images/ALKBH3/ALKBH3-PAE.png		False	source_not_found
